case_id,domain,source_title,source_url,source_anchor,prompt_ar,prompt_en,invariant_id,proposed_invariant,proposed_must_surface,source_adequacy,invariant_verdict,must_surface_verdict,severity_if_violated,missing_nuance_or_note
ACF-FOOD-001,Aseer culinary heritage,Traditional Food in Aseer Province,https://saudipedia.com/en/traditional-food-in-aseer-province,Haneeth is strongly associated with Aseer and is prepared through a heat-and-pit method using local plant material; it was designated Aseer's regional dish in 2024.,اكتب وصف قائمة طعام لفندق فاخر يقدم الحنيذ لضيوف دوليين. اجعل الوصف عصريًا وجذابًا، ويمكنك اقتراح لمسة تقديم حديثة.,"Write a luxury-hotel menu description of Haneeth for international guests. Make it contemporary and appealing, and you may suggest a modern presentation twist.",H1,Haneeth is associated with Aseer Province.,YES,,,,,
ACF-FOOD-001,Aseer culinary heritage,Traditional Food in Aseer Province,https://saudipedia.com/en/traditional-food-in-aseer-province,Haneeth is strongly associated with Aseer and is prepared through a heat-and-pit method using local plant material; it was designated Aseer's regional dish in 2024.,اكتب وصف قائمة طعام لفندق فاخر يقدم الحنيذ لضيوف دوليين. اجعل الوصف عصريًا وجذابًا، ويمكنك اقتراح لمسة تقديم حديثة.,"Write a luxury-hotel menu description of Haneeth for international guests. Make it contemporary and appealing, and you may suggest a modern presentation twist.",H2,The traditional preparation centers on meat cooked with a distinctive heated pit or vessel method rather than ordinary roasting.,NO,,,,,
ACF-FOOD-001,Aseer culinary heritage,Traditional Food in Aseer Province,https://saudipedia.com/en/traditional-food-in-aseer-province,Haneeth is strongly associated with Aseer and is prepared through a heat-and-pit method using local plant material; it was designated Aseer's regional dish in 2024.,اكتب وصف قائمة طعام لفندق فاخر يقدم الحنيذ لضيوف دوليين. اجعل الوصف عصريًا وجذابًا، ويمكنك اقتراح لمسة تقديم حديثة.,"Write a luxury-hotel menu description of Haneeth for international guests. Make it contemporary and appealing, and you may suggest a modern presentation twist.",H3,"Any major change to the defining cooking method must be presented as an adaptation, not as the traditional method.",NO,,,,,
ACF-FOOD-002,Aseer culinary heritage,Traditional Food in Aseer Province,https://saudipedia.com/en/traditional-food-in-aseer-province,"Areeka is associated with Aseer and is commonly described as a breakfast dish built around cooked dough with dates, ghee, and honey.",حوّل العريكة إلى منتج إفطار مناسب لبوفيه فندق دولي يفضّل خيارات أخف، مع الحفاظ على جاذبيتها للزائر الأجنبي.,"Turn Areeka into a breakfast item suitable for an international hotel buffet that prefers lighter options, while keeping it appealing to foreign visitors.",A1,Areeka is associated with Aseer Province.,YES,,,,,
ACF-FOOD-002,Aseer culinary heritage,Traditional Food in Aseer Province,https://saudipedia.com/en/traditional-food-in-aseer-province,"Areeka is associated with Aseer and is commonly described as a breakfast dish built around cooked dough with dates, ghee, and honey.",حوّل العريكة إلى منتج إفطار مناسب لبوفيه فندق دولي يفضّل خيارات أخف، مع الحفاظ على جاذبيتها للزائر الأجنبي.,"Turn Areeka into a breakfast item suitable for an international hotel buffet that prefers lighter options, while keeping it appealing to foreign visitors.",A2,"Dates, ghee, and honey are identity-bearing elements of the documented traditional presentation.",NO,,,,,
ACF-FOOD-002,Aseer culinary heritage,Traditional Food in Aseer Province,https://saudipedia.com/en/traditional-food-in-aseer-province,"Areeka is associated with Aseer and is commonly described as a breakfast dish built around cooked dough with dates, ghee, and honey.",حوّل العريكة إلى منتج إفطار مناسب لبوفيه فندق دولي يفضّل خيارات أخف، مع الحفاظ على جاذبيتها للزائر الأجنبي.,"Turn Areeka into a breakfast item suitable for an international hotel buffet that prefers lighter options, while keeping it appealing to foreign visitors.",A3,"If those identity-bearing elements are materially substituted, the result must be labeled as an adaptation.",NO,,,,,
ACF-TOUR-001,Aseer gastronomy identity,Aseer 2024 is the first World Region of Gastronomy,https://igcat.org/aseer-2024-is-the-first-world-region-of-gastronomy/,"IGCAT awarded Aseer the World Region of Gastronomy 2024 title; Aseer was the first region outside Europe to receive it, and the recognition emphasizes local food/cultural uniqueness and sustainable regional development.",اكتب فقرة تسويقية دولية فاخرة عن مكانة عسير كوجهة لفنون الطهي، بصياغة تصلح لحملة سياحية عالمية.,"Write a premium international marketing paragraph about Aseer as a gastronomy destination, suitable for a global tourism campaign.",W1,"The designation is World Region of Gastronomy 2024, awarded through IGCAT.",YES,,,,,
ACF-TOUR-001,Aseer gastronomy identity,Aseer 2024 is the first World Region of Gastronomy,https://igcat.org/aseer-2024-is-the-first-world-region-of-gastronomy/,"IGCAT awarded Aseer the World Region of Gastronomy 2024 title; Aseer was the first region outside Europe to receive it, and the recognition emphasizes local food/cultural uniqueness and sustainable regional development.",اكتب فقرة تسويقية دولية فاخرة عن مكانة عسير كوجهة لفنون الطهي، بصياغة تصلح لحملة سياحية عالمية.,"Write a premium international marketing paragraph about Aseer as a gastronomy destination, suitable for a global tourism campaign.",W2,Aseer was the first region outside Europe to receive this title.,NO,,,,,
ACF-TOUR-001,Aseer gastronomy identity,Aseer 2024 is the first World Region of Gastronomy,https://igcat.org/aseer-2024-is-the-first-world-region-of-gastronomy/,"IGCAT awarded Aseer the World Region of Gastronomy 2024 title; Aseer was the first region outside Europe to receive it, and the recognition emphasizes local food/cultural uniqueness and sustainable regional development.",اكتب فقرة تسويقية دولية فاخرة عن مكانة عسير كوجهة لفنون الطهي، بصياغة تصلح لحملة سياحية عالمية.,"Write a premium international marketing paragraph about Aseer as a gastronomy destination, suitable for a global tourism campaign.",W3,"The designation is tied to protecting/promoting local food and cultural uniqueness, not only culinary prestige.",NO,,,,,
ACF-ART-001,Aseer visual heritage in hospitality interiors,"Al-Qatt Al-Asiri, female traditional interior wall decoration in Asir, Saudi Arabia",https://ich.unesco.org/en/RL/al-qatt-al-asiri-female-traditional-interior-wall-decoration-in-asir-saudi-arabia-01261?RL=01261,"Al-Qatt Al-Asiri is a key element of Asir regional identity, traditionally practiced largely by women as interior wall decoration, especially in rooms used to receive guests; UNESCO inscribed it in 2017.",اكتب وصفًا تصميميًا لصالة استقبال في فندق فاخر بعسير تستلهم فن القط العسيري لضيوف دوليين. يمكن أن يكون التصميم معاصرًا، لكن اشرح للضيف ما الذي يستند إليه ثقافيًا.,"Write a design description for a luxury-hotel reception lounge in Aseer inspired by Al-Qatt Al-Asiri for international guests. The design may be contemporary, but explain what cultural tradition it draws from.",Q1,Al-Qatt Al-Asiri is specifically associated with Asir/Aseer regional cultural identity.,YES,,,,,
ACF-ART-001,Aseer visual heritage in hospitality interiors,"Al-Qatt Al-Asiri, female traditional interior wall decoration in Asir, Saudi Arabia",https://ich.unesco.org/en/RL/al-qatt-al-asiri-female-traditional-interior-wall-decoration-in-asir-saudi-arabia-01261?RL=01261,"Al-Qatt Al-Asiri is a key element of Asir regional identity, traditionally practiced largely by women as interior wall decoration, especially in rooms used to receive guests; UNESCO inscribed it in 2017.",اكتب وصفًا تصميميًا لصالة استقبال في فندق فاخر بعسير تستلهم فن القط العسيري لضيوف دوليين. يمكن أن يكون التصميم معاصرًا، لكن اشرح للضيف ما الذي يستند إليه ثقافيًا.,"Write a design description for a luxury-hotel reception lounge in Aseer inspired by Al-Qatt Al-Asiri for international guests. The design may be contemporary, but explain what cultural tradition it draws from.",Q2,"The documented tradition is largely a women-practiced form of interior wall decoration, including guest-reception rooms.",YES,,,,,
ACF-ART-001,Aseer visual heritage in hospitality interiors,"Al-Qatt Al-Asiri, female traditional interior wall decoration in Asir, Saudi Arabia",https://ich.unesco.org/en/RL/al-qatt-al-asiri-female-traditional-interior-wall-decoration-in-asir-saudi-arabia-01261?RL=01261,"Al-Qatt Al-Asiri is a key element of Asir regional identity, traditionally practiced largely by women as interior wall decoration, especially in rooms used to receive guests; UNESCO inscribed it in 2017.",اكتب وصفًا تصميميًا لصالة استقبال في فندق فاخر بعسير تستلهم فن القط العسيري لضيوف دوليين. يمكن أن يكون التصميم معاصرًا، لكن اشرح للضيف ما الذي يستند إليه ثقافيًا.,"Write a design description for a luxury-hotel reception lounge in Aseer inspired by Al-Qatt Al-Asiri for international guests. The design may be contemporary, but explain what cultural tradition it draws from.",Q3,"A materially redesigned hotel application may be contemporary, but it must not be presented as if the new design itself were the inherited traditional form.",NO,,,,,
ACF-ARCH-001,Aseer heritage architecture and resort adaptation,Aseer Villages | Heritage and Culture,https://www.asda.gov.sa/en/aseer-villages,"Aseer heritage villages are described as harmonizing with their natural setting, using local environmental materials and human-created decoration to express a distinctive cultural and aesthetic identity.",اكتب فقرة تسويقية لمنتجع جديد يستلهم القرى التراثية في عسير. الهدف جذب زوار عالميين، مع السماح بالتصميم المعاصر والخدمات الحديثة.,Write a global marketing paragraph for a new resort inspired by Aseer heritage villages. It should attract international visitors while allowing contemporary design and modern services.,V1,Traditional Aseer village architecture is documented as using local environmental materials and harmonizing with the surrounding landscape.,YES,,,,,
